train	direction	days	taipei	banqiao	taoyuan	hsinchu	taichung	chiayi	tainan	zuoying
0648	north	1,2,3,4,5,6,7	14:00	13:53	13:40	13:28	13:01	12:36	12:15	12:00
0150	north	1,2,3,4,5,6,7	14:06	13:58	-	-	13:15	-	-	12:30
0652	north	1,2,3,4,5,6,7	14:36	14:29	14:16	14:03	13:35	13:09	12:49	12:36
1154	north	          6,7	14:30	14:22	-	-	13:39	-	-	12:54
0656	north	1,2,3,4,5,6,7	15:00	14:53	14:40	14:28	14:01	13:36	13:15	13:00
0158	north	1,2,3,4,5,6,7	15:06	14:58	-	-	14:15	-	-	13:30
0660	north	1,2,3,4,5,6,7	15:36	15:29	15:16	15:03	14:35	14:09	13:49	13:36
1162	north	          6,7	15:30	15:22	-	-	14:39	-	-	13:54
0700	north	1,2,3,4,5,6,7	16:00	15:53	15:40	15:28	15:01	14:36	14:15	14:00
0202	north	1,2,3,4,5,6,7	16:06	15:58	-	-	15:15	-	-	14:30
0704	north	1,2,3,4,5,6,7	16:36	16:29	16:16	16:03	15:35	15:09	14:49	14:36
1206	north	        5,6,7	16:30	16:22	-	-	15:39	-	-	14:54
0708	north	1,2,3,4,5,6,7	17:00	16:53	16:40	16:28	16:01	15:36	15:15	15:00
1710	north	          5,7	17:18	17:11	16:58	16:46	16:19	15:54	15:33	15:18
0210	north	1,2,3,4,5,6,7	17:06	16:58	-	-	16:15	-	-	15:30
0712	north	1,2,3,4,5,6,7	17:36	17:29	17:16	17:03	16:35	16:09	15:49	15:36
1526	north	            7	17:54	17:47	17:34	17:21	16:52	-	-	-
1214	north	        5,6,7	17:30	17:22	-	-	16:39	-	-	15:54
0716	north	1,2,3,4,5,6,7	18:00	17:53	17:40	17:28	17:01	16:36	16:15	16:00
1216	north	            7	17:48	17:40	-	-	16:57	-	-	16:12
1718	north	          5,7	18:18	18:11	17:58	17:46	17:19	16:54	16:33	16:18
0218	north	1,2,3,4,5,6,7	18:06	17:58	-	-	17:15	-	-	16:30
0720	north	1,2,3,4,5,6,7	18:36	18:29	18:16	18:03	17:35	17:09	16:49	16:36
1528	north	            5	18:48	18:41	18:27	18:15	17:48	-	-	-
0222	north	1,2,3,4,5,6,7	18:30	18:22	-	-	17:39	-	-	16:54
0724	north	1,2,3,4,5,6,7	19:00	18:53	18:40	18:28	18:01	17:36	17:15	17:00
1224	north	            7	18:48	18:40	-	-	17:57	-	-	17:12
1726	north	          5,7	19:18	19:11	18:58	18:46	18:19	17:54	17:33	17:18
0226	north	1,2,3,4,5,6,7	19:06	18:58	-	-	18:15	-	-	17:30
0728	north	1,2,3,4,5,6,7	19:36	19:29	19:16	19:03	18:35	18:09	17:49	17:36
1530	north	            7	19:48	19:40	19:27	19:15	18:49	-	-	-
0230	north	1,2,3,4,5,6,7	19:30	19:22	-	-	18:39	-	-	17:54
0732	north	1,2,3,4,5,6,7	20:00	19:53	19:40	19:28	19:01	18:36	18:15	18:00
1734	north	          5,7	20:18	20:11	19:58	19:46	19:19	18:54	18:33	18:18
0234	north	1,2,3,4,5,6,7	20:06	19:58	-	-	19:15	-	-	18:30
0736	north	1,2,3,4,5,6,7	20:36	20:29	20:16	20:03	19:35	19:09	18:49	18:36
1532	north	            7	20:48	20:40	20:27	20:15	19:49	-	-	-
0238	north	1,2,3,4,5,6,7	20:30	20:22	-	-	19:39	-	-	18:54
0740	north	1,2,3,4,5,6,7	21:00	20:53	20:40	20:28	20:01	19:36	19:15	19:00
1742	north	          5,7	21:18	21:11	20:58	20:46	20:19	19:54	19:33	19:18
0242	north	1,2,3,4,5,6,7	21:06	20:58	-	-	20:15	-	-	19:30
0744	north	1,2,3,4,5,6,7	21:36	21:29	21:16	21:03	20:35	20:09	19:49	19:36
0246	north	1,2,3,4,5,6,7	21:30	21:22	-	-	20:39	-	-	19:54
0748	north	1,2,3,4,5,6,7	22:00	21:53	21:40	21:28	21:01	20:36	20:15	20:00
1248	north	            7	21:48	21:40	-	-	20:57	-	-	20:12
1750	north	          6,7	22:18	22:11	21:58	21:46	21:19	20:54	20:33	20:18
0250	north	1,2,3,4,5,6,7	22:06	21:58	-	-	21:15	-	-	20:30
0752	north	1,2,3,4,5,6,7	22:36	22:29	22:16	22:03	21:35	21:09	20:49	20:36
0254	north	1,2,3,4,5,6,7	22:30	22:22	-	-	21:39	-	-	20:54
0756	north	1,2,3,4,5,6,7	23:00	22:53	22:40	22:28	22:01	21:36	21:15	21:00
1256	north	            7	22:48	22:40	-	-	21:57	-	-	21:12
0760	north	1,2,3,4,5,6,7	23:36	23:29	23:16	23:04	22:37	22:12	21:51	21:36
1262	north	            7	23:24	23:16	-	-	22:33	-	-	21:48
0762	north	1,2,3,4,5,6,7	23:54	23:47	23:34	23:22	22:55	22:30	22:09	21:54
0334	north	1,2,3,4,5,6,7	23:59	23:53	-	-	23:10	22:45	22:25	22:12
0596	north	1,2,3,4,5,6,7	-	-	-	-	23:59	23:35	23:15	23:00
